true\pred,accipiter_gentilis,alcedo_atthis,anas_platyrhynchos,athene_noctua,buteo_japonicus,capreolus_capreolus,caprimulgus_jotaka,cettia_diphone,ciconia_boyciana,columba_livia,corvus_corone,egretta_garzetta,emberiza_schoeniclus,falco_tinnunculus,grus_japonensis,hydropotes_inermis,hydroprogne_caspia,melanitta_fusca,motacilla_alba,nycticorax_nycticorax,parus_minor,passer_montanus,phalacrocorax_carbo,pica_pica,pica_serica,streptopelia_orientalis,tachybaptus_ruficollis,turdus_naumanni,zosterops_japonicus
accipiter_gentilis,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
alcedo_atthis,0,14,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anas_platyrhynchos,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0
athene_noctua,1,0,0,11,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
buteo_japonicus,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
capreolus_capreolus,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
caprimulgus_jotaka,1,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cettia_diphone,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
ciconia_boyciana,1,0,1,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
columba_livia,1,0,0,0,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
corvus_corone,0,0,0,2,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egretta_garzetta,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
emberiza_schoeniclus,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
falco_tinnunculus,4,0,0,0,2,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
grus_japonensis,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hydropotes_inermis,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0
hydroprogne_caspia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0
melanitta_fusca,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
motacilla_alba,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0
nycticorax_nycticorax,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,12,1,0,1,0,0,0,0,0,0
parus_minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,2,0,0,0,1
passer_montanus,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,1
phalacrocorax_carbo,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0
pica_pica,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,12,2,0,0,0,0
pica_serica,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
streptopelia_orientalis,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0
tachybaptus_ruficollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0
turdus_naumanni,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
zosterops_japonicus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16
